PassengerId,CryoSleep,Cabin,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e
0001_01,False,B/0/P,39.0,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,False,True,False,False,False,True
0002_01,False,F/0/S,24.0,False,109.0,9.0,25.0,549.0,44.0,Juanna Vines,True,True,False,False,False,False,True
0003_01,False,A/0/S,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False,False,True,False,False,False,True
0003_02,False,A/0/S,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False,False,True,False,False,False,True
0004_01,False,F/1/S,16.0,False,303.0,70.0,151.0,565.0,2.0,Willy Santantines,True,True,False,False,False,False,True
0005_01,False,F/0/P,44.0,False,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,True,True,False,False,False,True,False
0006_01,False,F/2/S,26.0,False,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True,True,False,False,False,False,True
0007_01,False,F/3/S,35.0,False,0.0,785.0,17.0,216.0,0.0,Andona Beston,True,True,False,False,False,False,True
0008_01,True,B/1/P,14.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,False,True,False,True,False,False
0008_03,False,B/1/P,45.0,False,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,True,False,True,False,True,False,False
0009_01,False,F/1/P,32.0,False,73.0,0.0,1123.0,0.0,113.0,Berers Barne,True,False,False,True,False,False,True
0010_01,False,G/1/S,48.0,False,719.0,1.0,65.0,0.0,24.0,Reney Baketton,False,True,False,False,False,False,True
0011_01,False,F/2/P,28.0,False,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,True,True,False,False,False,False,True
0015_01,False,F/4/P,24.0,False,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,False,True,False,False,True,False,False
0016_01,True,F/5/P,45.0,False,0.0,0.0,0.0,0.0,0.0,Alus Upead,True,False,False,True,False,False,True
0017_01,False,G/0/P,0.0,False,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True,True,False,False,False,False,True
0017_02,False,F/6/P,14.0,False,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,False,True,False,False,True,False,False
0020_01,True,E/0/S,1.0,False,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False,True,False,False,False,False,True
0020_02,True,E/0/S,49.0,False,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False,True,False,False,True,False,False
0020_04,False,E/0/S,10.0,False,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True,True,False,False,False,False,True
0020_06,False,E/0/S,7.0,False,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False,True,False,False,False,False,True
0025_01,False,F/6/S,15.0,False,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,False,True,False,False,False,False,True
0026_01,False,C/0/P,34.0,False,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,False,False,True,False,True,False,False
0028_01,False,F/8/P,43.0,False,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,False,False,False,True,False,False,True
0030_01,False,G/4/S,32.0,False,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,False,True,False,False,False,False,True
0031_01,False,F/9/P,47.0,False,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,True,False,False,True,False,False,True
0031_02,False,F/9/P,2.0,False,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True,False,False,True,False,False,True
0034_01,True,D/1/S,28.0,False,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True,False,True,False,True,False,False
0035_01,False,D/1/P,23.0,False,784.0,964.0,0.0,951.0,0.0,Luse Butte,False,False,False,True,True,False,False
0038_01,False,F/10/S,20.0,False,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,False,True,False,False,True,False,False
0041_01,True,G/2/P,17.0,False,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True,True,False,False,False,False,True
0043_01,False,B/3/P,45.0,False,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,False,False,True,False,False,False,True
0044_01,True,G/3/P,55.0,False,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,False,True,False,False,False,False,True
0044_02,True,G/3/P,4.0,False,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,True,True,False,False,True,False,False
0044_03,True,G/3/P,21.0,False,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,True,True,False,False,False,True,False
0045_01,False,F/10/P,21.0,False,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,False,False,False,True,False,False,True
0051_01,False,E/2/S,56.0,False,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,False,True,False,False,False,False,True
0053_01,False,F/11/S,25.0,False,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,True,True,False,False,False,False,True
0056_01,False,A/1/S,2.0,False,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,True,False,True,False,False,False,True
0056_02,True,A/1/S,38.0,False,0.0,0.0,0.0,0.0,0.0,Instab Tractive,True,False,True,False,False,False,True
0056_03,False,A/1/S,27.0,False,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,True,False,True,False,False,False,True
0058_01,True,G/7/S,36.0,False,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,False,True,False,False,False,True,False
0061_01,False,F/12/S,22.0,False,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,False,True,False,False,False,False,True
0062_01,False,F/13/S,62.0,False,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,False,True,False,False,False,False,True
0066_01,False,G/6/P,62.0,False,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,False,True,False,False,False,False,True
0067_01,True,G/10/S,0.0,False,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,True,True,False,False,False,True,False
0067_02,False,G/10/S,18.0,False,1.0,258.0,446.0,0.0,0.0,Celine Leeves,True,True,False,False,False,False,True
0067_03,False,F/15/S,21.0,False,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,False,True,False,False,True,False,False
0070_01,False,F/13/P,19.0,False,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,False,True,False,False,False,False,True
0071_01,False,F/14/P,17.0,False,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,False,True,False,False,False,False,True
0072_01,False,F/17/S,14.0,False,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,False,True,False,False,False,False,True
0073_01,False,D/3/P,37.0,False,46.0,83.0,738.0,0.0,12.0,Gorn Make,False,False,False,True,False,True,False
0074_01,False,C/3/S,42.0,False,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry,True,False,True,False,False,False,True
0076_01,False,F/18/S,27.0,False,147.0,0.0,1018.0,0.0,0.0,Conk Dal,True,False,False,True,False,False,True
0077_01,False,F/15/P,28.0,False,14.0,0.0,1295.0,0.0,0.0,Pon Blité,True,False,False,True,False,False,True
0078_01,False,C/4/S,38.0,False,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,False,False,True,False,False,False,True
0081_01,True,G/13/S,13.0,False,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,False,True,False,False,False,False,True
0082_01,False,F/16/P,42.0,False,7406.0,0.0,0.0,0.0,0.0,Totse Datte,False,False,False,True,False,False,True
0082_02,True,F/16/P,2.0,False,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,True,False,False,True,False,False,True
0084_01,False,G/14/S,24.0,False,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney,True,True,False,False,False,False,True
0085_01,True,C/5/S,40.0,False,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,True,False,True,False,False,False,True
0086_01,False,F/17/P,43.0,False,211.0,0.0,0.0,638.0,513.0,Jodye Kinson,False,True,False,False,False,False,True
0088_01,True,E/5/S,45.0,False,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,True,False,False,True,False,True,False
0090_01,True,G/15/S,35.0,False,0.0,0.0,0.0,0.0,0.0,Heremy Santry,True,True,False,False,False,False,True
0091_02,False,F/20/S,27.0,False,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,False,True,False,False,False,False,True
0092_01,False,G/9/P,19.0,False,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey,False,True,False,False,False,False,True
0092_03,True,G/9/P,3.0,False,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,True,True,False,False,False,False,True
0097_01,False,A/2/S,54.0,False,0.0,1208.0,0.0,3.0,637.0,Alchium Fictful,False,False,True,False,False,False,True
0098_01,False,G/11/P,26.0,False,0.0,856.0,5.0,32.0,0.0,Doria Carezquez,False,True,False,False,False,False,True
0098_02,False,G/11/P,26.0,False,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez,True,True,False,False,False,False,True
0099_01,False,F/19/P,23.0,False,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney,False,True,False,False,False,True,False
0102_01,False,F/23/S,18.0,False,0.0,0.0,0.0,830.0,91.0,Ritany Holson,False,True,False,False,False,False,True
0103_02,True,G/18/S,9.0,False,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,True,True,False,False,True,False,False
0103_03,True,G/18/S,6.0,False,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,False,True,False,False,False,False,True
0107_01,False,D/2/S,21.0,False,1743.0,5.0,17.0,0.0,0.0,Coobix Hart,False,False,False,True,False,False,True
0108_01,True,G/19/S,23.0,False,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,False,True,False,False,False,False,True
0110_03,False,B/5/P,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,True,False,True,False,False,False,True
0110_04,True,B/5/P,28.0,False,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,True,False,True,False,False,False,True
0111_01,True,E/6/S,29.0,False,0.0,0.0,0.0,0.0,0.0,Aldera Supred,True,False,True,False,False,False,True
0112_01,False,B/1/S,48.0,True,0.0,2537.0,87.0,17.0,13.0,Moth Cowtale,True,False,True,False,True,False,False
0113_01,False,F/23/P,64.0,False,0.0,0.0,804.0,0.0,0.0,Idary Carvis,True,True,False,False,False,False,True
0114_01,False,G/20/S,27.0,False,82.0,157.0,429.0,238.0,1.0,Maura Beckerson,False,True,False,False,False,False,True
0116_01,False,D/4/P,33.0,False,1.0,2223.0,0.0,12.0,404.0,Alhenah Suptive,True,False,True,False,False,False,True
0119_02,True,A/0/P,13.0,False,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,True,False,True,False,False,False,True
0122_01,False,G/21/S,29.0,False,0.0,0.0,0.0,699.0,74.0,Shelle Hayder,False,True,False,False,False,False,True
0123_01,False,F/27/P,18.0,False,55.0,597.0,49.0,0.0,1.0,Iree Fielson,False,True,False,False,False,False,True
0126_01,True,F/27/S,67.0,False,0.0,0.0,0.0,0.0,0.0,Milly Mish,True,False,False,True,False,False,True
0127_01,False,E/7/S,35.0,False,701.0,0.0,296.0,0.0,25.0,Miloss Mesty,False,False,False,True,False,False,True
0128_01,False,D/3/S,61.0,True,2353.0,334.0,9.0,316.0,2.0,Grohs Fles,False,False,False,True,False,False,True
0128_02,False,E/8/S,45.0,False,2103.0,6.0,0.0,0.0,0.0,Barave Fles,False,False,False,True,False,False,True
0133_01,True,F/29/S,19.0,False,0.0,0.0,0.0,0.0,0.0,Flynx Blie,True,False,False,True,False,False,True
0133_02,False,D/5/S,36.0,False,2738.0,0.0,0.0,0.0,0.0,Egrasp Blie,False,False,False,True,False,False,True
0134_01,False,G/17/P,19.0,False,0.0,14.0,730.0,0.0,0.0,Camina Harmontry,True,True,False,False,False,False,True
0138_01,True,G/18/P,13.0,False,0.0,0.0,0.0,0.0,0.0,Fayene Gambs,True,True,False,False,False,False,True
0139_01,True,C/6/S,35.0,False,0.0,0.0,0.0,0.0,0.0,Charda Myling,True,False,True,False,True,False,False
0140_01,True,G/19/P,24.0,False,0.0,0.0,0.0,0.0,0.0,Evaley Mejiaddox,True,True,False,False,False,False,True
0140_02,False,F/29/P,26.0,False,440.0,0.0,0.0,0.0,462.0,Verney Whitakers,False,True,False,False,False,False,True
0144_01,False,F/31/S,20.0,False,0.0,420.0,210.0,0.0,0.0,Guadae Dayers,True,True,False,False,False,False,True
0146_01,False,G/25/S,56.0,False,0.0,0.0,0.0,0.0,0.0,Verly Wolferguson,False,True,False,False,False,False,True
0147_01,True,G/26/S,50.0,False,0.0,0.0,0.0,0.0,0.0,Samie Hubbarrison,True,True,False,False,False,False,True
0148_01,False,F/31/P,42.0,False,1072.0,0.0,10.0,0.0,76.0,Corsh Pashe,False,False,False,True,False,False,True
0151_01,True,G/20/P,38.0,False,0.0,0.0,0.0,0.0,0.0,Shanie Simson,False,True,False,False,True,False,False
0160_01,False,G/22/P,22.0,False,4119.0,0.0,0.0,0.0,61.0,Gory Atkinney,False,True,False,False,False,False,True
0163_01,True,B/8/P,26.0,False,0.0,0.0,0.0,0.0,0.0,Kabiton Hetforhaft,True,False,True,False,False,False,True
0163_02,True,B/8/P,17.0,False,0.0,0.0,0.0,0.0,0.0,Scharab Hetforhaft,True,False,True,False,False,False,True
0164_02,True,G/28/S,17.0,False,0.0,0.0,0.0,0.0,0.0,Ianya Hutchinton,False,True,False,False,False,True,False
0167_01,True,F/35/S,13.0,False,0.0,0.0,0.0,0.0,0.0,Miten Floaf,True,False,False,True,False,False,True
0167_02,False,F/35/S,27.0,False,1365.0,0.0,48.0,22.0,137.0,Rios Floaf,False,False,False,True,False,False,True
0169_01,True,G/23/P,31.0,False,0.0,0.0,0.0,0.0,0.0,Wandy Fisherry,False,True,False,False,False,False,True
0170_01,False,E/10/S,24.0,False,0.0,0.0,0.0,221.0,567.0,Mollie Mcmahoney,False,True,False,False,False,False,True
0171_01,True,G/30/S,19.0,False,0.0,0.0,0.0,0.0,0.0,Coracy Gordanieves,True,True,False,False,False,True,False
0172_01,True,G/24/P,32.0,False,0.0,0.0,0.0,0.0,0.0,Hanna Johnshines,True,True,False,False,False,False,True
0174_01,False,F/38/P,21.0,False,287.0,0.0,16.0,115.0,175.0,Doryn Lambles,False,True,False,False,True,False,False
0177_01,False,B/2/S,38.0,False,0.0,10346.0,1.0,14970.0,2111.0,Toperon Iniouser,False,False,True,False,False,False,True
0178_01,False,D/6/S,38.0,False,3414.0,0.0,161.0,28.0,119.0,Wees Knik,False,False,False,True,False,False,True
0179_01,False,G/26/P,19.0,False,1.0,219.0,673.0,2.0,11.0,Elaney Webstephrey,True,True,False,False,False,False,True
0179_02,False,G/26/P,0.0,False,0.0,0.0,0.0,0.0,0.0,Raque Webstephrey,False,True,False,False,False,False,True
